,Company Name,Departure Time,Deboarding Time,Trip Hour,Layover,Price
0,Air India,07:00,09:15,02 h 15 m,Non stop,"₹ 22,116

per adult"
1,Air India,08:00,10:20,02 h 20 m,Non stop,"₹ 22,116

per adult"
2,Air India,09:00,11:20,02 h 20 m,Non stop,"₹ 22,116

per adult"
3,Air India,10:00,12:15,02 h 15 m,Non stop,"₹ 22,116

per adult"
4,Air India,13:00,15:15,02 h 15 m,Non stop,"₹ 22,116

per adult"
5,Air India,15:35,18:00,02 h 25 m,Non stop,"₹ 22,116

per adult"
6,Air India,16:00,18:20,02 h 20 m,Non stop,"₹ 22,116

per adult"
7,Air India,18:00,20:20,02 h 20 m,Non stop,"₹ 22,116

per adult"
8,Air India,19:00,21:15,02 h 15 m,Non stop,"₹ 22,116

per adult"
9,Air India,21:00,23:10,02 h 10 m,Non stop,"₹ 22,116

per adult"
10,Air India,07:40,11:10,03 h 30 m,1 stop via Indore,"₹ 22,116

per adult"
11,Vistara,05:55,07:55,02 h,Non stop,"₹ 37,292

per adult"
12,Vistara,06:30,08:25,01 h 55 m,Non stop,"₹ 37,292

per adult"
13,Vistara,21:55,00:10,02 h 15 m,Non stop,"₹ 37,292

per adult"
14,Vistara,16:30,08:15,15 h 45 m,1 stop via Ahmedabad,"₹ 37,437

per adult"
15,Vistara,07:30,09:40,02 h 10 m,Non stop,"₹ 38,132

per adult"
16,Vistara,19:10,21:15,02 h 05 m,Non stop,"₹ 38,132

per adult"
17,Vistara,22:50,01:00,02 h 10 m,Non stop,"₹ 38,132

per adult"
18,Vistara,16:30,21:45,05 h 15 m,1 stop via Ahmedabad,"₹ 38,278

per adult"
19,Vistara,15:45,18:10,02 h 25 m,Non stop,"₹ 49,276

per adult"
20,Vistara,20:40,23:00,02 h 20 m,Non stop,"₹ 49,276

per adult"
21,Vistara,06:35,10:30,03 h 55 m,1 stop via Ahmedabad,"₹ 49,422

per adult"
22,Vistara,08:45,10:55,02 h 10 m,Non stop,"₹ 57,116

per adult"
23,Vistara,10:25,12:40,02 h 15 m,Non stop,"₹ 57,116

per adult"
24,Vistara,11:55,13:55,02 h,Non stop,"₹ 57,116

per adult"
25,Vistara,12:35,14:55,02 h 20 m,Non stop,"₹ 57,116

per adult"
26,Vistara,14:40,16:55,02 h 15 m,Non stop,"₹ 57,116

per adult"
27,Vistara,17:25,19:45,02 h 20 m,Non stop,"₹ 57,116

per adult"
28,Vistara,18:30,20:40,02 h 10 m,Non stop,"₹ 57,116

per adult"
29,Vistara,19:45,21:55,02 h 10 m,Non stop,"₹ 57,116

per adult"
